IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.154.225,4,4,0.00,179.20,5.82
172.64.164.231,4,4,0.00,179.50,5.69
172.64.202.225,4,4,0.00,178.93,5.60
172.64.195.162,4,4,0.00,173.56,5.57
172.64.196.194,4,4,0.00,177.59,5.54
172.64.133.185,4,4,0.00,174.56,5.44
172.64.139.85,4,4,0.00,177.43,5.29
172.64.168.40,4,4,0.00,173.43,5.25
172.64.103.133,4,4,0.00,177.53,5.24
172.64.110.239,4,4,0.00,178.46,5.21
172.64.131.123,4,4,0.00,173.15,5.10
172.64.193.76,4,4,0.00,171.57,5.03
172.64.109.113,4,4,0.00,174.13,4.83
172.64.173.250,4,4,0.00,180.14,4.76
172.64.163.144,4,4,0.00,180.55,4.75
172.64.192.132,4,4,0.00,169.96,4.72
172.64.160.9,4,4,0.00,170.67,4.72
172.64.203.36,4,4,0.00,172.77,4.67
172.64.136.160,4,4,0.00,169.30,4.42
172.64.104.178,4,4,0.00,173.24,4.32
172.64.135.226,4,4,0.00,171.54,4.30
172.64.138.120,4,4,0.00,172.54,4.03
172.64.140.189,4,4,0.00,168.55,4.01
172.64.165.214,4,4,0.00,177.33,3.89
172.64.153.86,4,4,0.00,174.76,3.87
172.64.174.20,4,4,0.00,169.94,3.83
172.64.102.239,4,4,0.00,172.38,3.82
172.64.206.164,4,4,0.00,171.58,3.78
172.64.96.106,4,4,0.00,176.81,3.56
172.64.98.5,4,4,0.00,174.21,3.41
172.64.137.208,4,4,0.00,174.93,3.33
172.64.175.214,4,4,0.00,169.13,3.24
172.64.205.134,4,4,0.00,171.25,3.23
172.64.101.133,4,4,0.00,170.11,3.16
172.64.201.101,4,4,0.00,170.11,3.08
172.64.108.79,4,4,0.00,172.54,2.96
172.64.99.109,4,4,0.00,167.76,2.89
172.64.171.212,4,4,0.00,171.47,2.87
172.64.40.53,4,4,0.00,176.25,2.82
172.64.170.226,4,4,0.00,172.23,2.46
172.64.167.107,4,4,0.00,176.06,2.23
172.64.132.179,4,4,0.00,175.93,2.18
172.64.141.220,4,4,0.00,169.69,1.88
172.66.42.186,4,4,0.00,176.46,1.84
172.64.194.68,4,4,0.00,172.51,1.81
172.64.128.64,4,4,0.00,168.18,1.73
172.64.130.155,4,4,0.00,171.40,1.57
172.64.166.62,4,4,0.00,175.75,1.44
172.64.200.185,4,4,0.00,171.03,1.34
172.64.134.186,4,4,0.00,175.40,0.99
